9999,,,,,,,,,,,,,9999
,,,,,,,,,,,,,
,T,H,T,T,H,T,T,H,T,T,H,T,
,T,,T,T,,T,T,,T,T,,T,
T,T,,T,T,,T,T,,T,T,,T,T
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
<<<<<<< HEAD
,,,,,,,,,,,,,
=======
>>>>>>> ab5a85f05485912636525a3765b25538f6987043
T,,T,T,T,,,,,T,T,T,,T
T,,T,,T,,,,,T,,T,,T
T,H-180,T,,T,,,,,T,,T,H-180,T
,,,T,T,,,,,T,T,,,
<<<<<<< HEAD
,,,H-270,,,,,,,H-90,,,
,,,T,T,,,,,T,T,,,
,,,,T,,,,,T,,,,
,,,,T,,,,,T,,,,
,,,,T,,,,,T,,,,
,,,,T,,,,,T,,,,
=======
,,,H-270,,,,,,H-90,,,,
,,,T,T,,,,,T,T,,,
,,,,T,,,,T,,,,,
,,,,T,,,,T,,,,,
,,,,T,,,,T,,,,,
,,,,T,,,,T,,,,,
>>>>>>> ab5a85f05485912636525a3765b25538f6987043
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,h-180,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
9999,,,,,,,,,,,,,9999
